# Accelerometer Data File
# Started @Wed Mar 30 10:28:48 CDT 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0011901855m/sec^2; Max Range: 39.226593; Min Delay: 8333 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: ft/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
0.778 -0.004 -0.585 9
0.723 -0.015 -0.382 8
0.73 -0.031 -0.201 9
0.773 -0.099 -0.107 8
0.688 -0.101 -0.048 8
0.52 -0.047 -0.021 9
0.37 0.014 -0.031 8
0.301 0.04 -0.075 9
0.322 0.105 -0.107 8
0.342 0.169 -0.113 8
0.378 0.23 -0.122 9
0.454 0.27 -0.13 8
0.562 0.275 -0.137 9
0.638 0.247 -0.172 8
0.608 0.152 -0.218 8
0.527 0.078 -0.334 9
0.408 0.002 -0.512 8
0.257 -0.075 -0.695 8
0.076 -0.142 -0.822 9
-0.123 -0.186 -0.878 8
-0.313 -0.18 -0.768 9
-0.347 -0.153 -0.538 8
-0.313 -0.132 -0.259 8
-0.219 -0.113 0.0 9
-0.061 -0.097 0.189 8
0.114 -0.112 0.271 9
0.256 -0.169 0.169 8
0.377 -0.203 0.01 8
0.454 -0.21 -0.182 9
0.512 -0.243 -0.382 8
0.557 -0.328 -0.571 9
0.504 -0.388 -0.73 8
0.413 -0.412 -0.762 8
0.333 -0.437 -0.623 9
0.229 -0.47 -0.371 8
0.144 -0.512 -0.135 9
0.146 -0.569 -0.034 8
0.262 -0.658 -0.096 8
0.474 -0.736 -0.136 9
0.632 -0.776 -0.15 8
0.75 -0.83 -0.2 9
0.876 -0.94 -0.317 8
1.022 -1.131 -0.488 8
1.068 -1.389 -0.618 9
1.057 -1.724 -0.564 8
1.008 -2.125 -0.454 8
0.917 -2.516 -0.318 9
0.773 -2.805 -0.14 8
0.565 -2.903 0.118 9
0.303 -2.713 0.506 8
-0.027 -2.021 1.024 8
-0.301 -1.048 1.575 9
-0.465 0.053 2.085 8
-0.546 1.137 2.486 9
-0.595 2.102 2.699 8
-0.563 2.906 2.546 8
-0.345 3.338 2.116 9
-0.15 3.445 1.546 8
-0.075 3.353 0.833 9
-0.115 3.153 0.038 8
-0.218 2.883 -0.745 8
-0.435 2.566 -1.485 9
-0.601 2.222 -2.166 8
-0.749 1.985 -2.587 9
-0.929 1.826 -2.862 8
-1.132 1.685 -3.017 8
-1.308 1.483 -3.032 9
-1.45 1.191 -2.899 8
-1.555 0.862 -2.67 9
-1.547 0.543 -2.263 8
-1.427 0.23 -1.693 8
-1.202 -0.068 -1.004 9
-0.908 -0.331 -0.277 8
-0.668 -0.546 0.38 8
-0.424 -0.767 0.964 9
-0.233 -0.97 1.48 8
-0.157 -1.098 1.89 9
-0.211 -1.142 2.157 8
-0.355 -1.146 2.257 8
-0.519 -1.163 2.204 9
-0.744 -1.177 2.023 8
-1.071 -1.144 1.823 9
-1.408 -1.084 1.578 8
-1.559 -1.018 1.315 8
-1.415 -0.953 1.101 9
-0.992 -0.898 0.854 8
-0.531 -0.772 0.625 9
-0.132 -0.598 0.444 8
0.178 -0.41 0.302 8
0.402 -0.234 0.18 9
0.557 -0.076 0.05 8
0.672 0.085 -0.138 9
0.715 0.198 -0.362 8
0.728 0.325 -0.629 8
0.691 0.407 -0.912 9
0.581 0.432 -1.178 8
0.416 0.482 -1.392 8
0.304 0.585 -1.418 9
0.242 0.626 -1.313 8
0.194 0.617 -1.187 9
0.16 0.587 -1.093 8
0.141 0.538 -1.02 8
0.127 0.441 -0.903 9
0.06 0.38 -0.821 8
0.069 0.376 -0.607 9
0.159 0.361 -0.322 8
0.293 0.352 -0.042 8
0.413 0.353 0.162 9
0.482 0.325 0.278 8
0.541 0.301 0.365 9
0.556 0.296 0.418 8
0.493 0.259 0.428 8
0.303 0.213 0.335 9
0.033 0.189 0.151 8
-0.11 0.183 0.044 9
-0.123 0.194 0.088 8
-0.009 0.202 0.189 8
0.075 0.162 0.245 9
0.082 0.104 0.269 8
0.043 0.061 0.291 9
0.053 0.023 0.308 8
0.17 -0.09 0.302 8
0.234 -0.189 0.352 9
0.179 -0.272 0.442 8
0.078 -0.333 0.537 8
0.03 -0.375 0.598 9
0.069 -0.412 0.605 8
0.153 -0.424 0.657 9
0.268 -0.364 0.689 8
0.352 -0.254 0.616 8
0.413 -0.136 0.426 9
0.472 -0.05 0.161 8
0.526 -0.03 0.0 9
0.481 -0.006 -0.091 8
0.38 -0.003 -0.06 8
0.313 0.015 0.012 9
0.293 0.021 0.064 8
0.291 -0.017 0.056 9
0.272 -0.073 -0.018 8
0.277 -0.111 -0.095 8
0.347 -0.165 -0.113 9
0.394 -0.272 -0.126 8
0.401 -0.438 -0.129 9
0.392 -0.638 -0.109 8
0.369 -0.81 -0.118 8
0.328 -0.996 -0.193 9
0.364 -1.232 -0.315 8
0.468 -1.488 -0.426 8
0.606 -1.766 -0.488 9
0.711 -2.053 -0.483 8
0.704 -2.24 -0.44 9
0.693 -2.427 -0.359 8
0.638 -2.474 -0.204 8
0.599 -2.42 -0.037 9
0.555 -2.265 0.097 8
0.447 -1.987 0.195 9
0.278 -1.567 0.302 8
0.026 -1.068 0.473 8
-0.224 -0.53 0.722 9
-0.45 0.014 1.002 8
-0.614 0.531 1.292 9
-0.684 1.002 1.588 8
-0.677 1.421 1.83 8
-0.77 1.707 1.915 9
-0.979 1.928 1.884 8
-1.161 2.073 1.708 9
-1.27 2.128 1.383 8
-1.344 2.085 0.925 8
-1.389 1.984 0.355 9
-1.521 1.881 -0.231 8
-1.652 1.746 -0.747 9
-1.716 1.578 -1.122 8
-1.686 1.402 -1.332 8
-1.56 1.246 -1.392 9
-1.287 1.043 -1.356 8
-0.871 0.764 -1.25 8
-0.514 0.442 -1.11 9
-0.295 0.114 -0.828 8
